cluster_id	n_peaks
0	1
1	2
2	1
3	1
4	1
5	1
6	1
7	1
8	1
13	2
14	2
15	1
16	1
17	1
18	1
19	1
20	1
29	2
35	2
36	1
37	1
38	1
39	1
40	1
41	2
42	1
43	1
44	1
45	1
49	1
51	1
52	1
53	1
54	2
55	1
56	1
58	1
59	2
60	2
76	1
80	1
81	2
82	1
83	2
86	1
88	2
89	1
92	1
93	1
95	1
98	1
108	2
110	2
112	1
116	1
122	1
123	2
129	1
130	2
131	2
132	1
134	1
140	1
143	2
144	2
146	2
148	1
149	1
152	1
153	2
154	2
155	1
156	1
157	1
158	1
160	1
162	1
165	1
166	1
167	1
169	1
170	1
171	1
174	1
175	2
176	1
177	2
178	2
179	2
180	2
181	2
186	2
187	2
188	1
189	1
193	1
195	1
197	1
198	1
199	1
200	1
202	1
203	1
204	2
205	1
207	1
208	1
209	1
211	2
212	1
213	1
214	1
216	1
217	1
219	1
223	2
224	2
225	1
226	1
227	1
228	1
229	1
230	1
231	1
234	2
235	1
236	1
237	2
239	1
241	1
242	1
243	2
244	1
245	1
246	1
247	1
248	1
251	2
253	1
257	2
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	2
267	1
269	2
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	2
278	1
279	2
280	2
281	1
283	1
285	1
287	1
290	1
291	1
292	1
293	1
296	2
297	1
298	1
300	2
309	1
310	1
312	1
315	2
316	1
319	2
320	1
321	1
322	1
323	1
324	2
325	1
328	2
330	2
331	2
332	1
333	1
340	1
341	2
342	1
348	1
357	1
358	2
362	1
376	1
379	1
380	1
381	1
383	1
400	1
403	1
407	2
411	1
413	1
627	1
632	1
633	1
634	1
635	1
640	1
642	2
651	1
652	1
654	1
655	1
656	1
657	2
660	1
661	2
662	1
663	1
664	1
665	2
667	1
672	1
674	1
675	2
678	1
