cluster_id	peak_2_to_trough
0	1
1	0.903261508865772
2	0.620025792452247
3	0.411294641745521
4	0.693410633318764
5	0.78943269115296
6	0.92658567236111
7	0.599490373169385
8	0.837467716360081
13	0.281009101048726
14	0.967568145442733
15	0.852802204206288
16	0.0396281264782189
17	0.041529305152424
18	0.0329095039345279
19	0.800190124358355
20	0.0113646898967651
29	0.160294708307511
35	0.947434053567869
36	0.977880032827981
37	0.8396000430126
38	0.280736982301992
39	0.987576200461285
40	0.637916614402066
41	0.575654238525237
42	0.588962704698517
43	0.589449067415906
44	0.804358676051017
45	0.708840136883907
49	0.109510741960487
51	0.602083268068731
52	0.657293655053339
53	2.17626582453172
54	0.101689009360195
55	0.0476535693827017
56	0.0606477825523182
58	0.637210071872428
59	0.562820440817828
60	0.43373575311357
76	0.577106322225931
80	0.883333597732876
81	0.150431977246698
82	0.352688240696996
83	0.562230605535583
86	0.611037376065309
88	0.326683611287718
89	0.624336835129452
92	0.801458484523249
93	0.361144831884841
95	0.0197762407711923
98	0.0683141120054929
108	0.117718886718435
110	0.115542601914265
112	0.104630386029136
116	0.00321106166131136
122	0.0508539533356754
123	0.331043910282244
129	0.0360574998259295
130	0.398958769777546
131	0.00575340018469003
132	0.0341074110333852
134	0.0152350139796275
140	0.120336679549311
143	0.474126252537127
144	0.185793627135526
146	0.263330107238116
148	0.0285474502851601
149	0.0597887491347506
152	0.0128655146969988
153	0.460083009743523
154	0.148480775299172
155	0.179531605062226
156	0.529548599232793
157	0.241374352796086
158	0.0358981231658697
160	0.033568855319996
162	0.153286253706465
165	0.194679385239808
166	0.00263986171266373
167	0.512707305680643
169	0.0326689838977952
170	0.0661213916568317
171	0.467204277288695
174	0.520548570035693
175	0.694936311074715
176	0.00894873526038715
177	0.413508905119778
178	0.416093632171258
179	0.0813095797421472
180	0.213934444473312
181	0.245662981590499
186	0.164249969944242
187	0.514665891448211
188	0.466490743894766
189	0.0746364527843664
193	0.616281616002061
195	0.285943590072472
197	0.460760467731781
198	3.79300572564073
199	0.263042298089215
200	0.0921563373600878
202	0.117676538965537
203	0.437027613085231
204	0.647719791940198
205	0.332347696585887
207	0.186079527538255
208	0.0118939778080771
209	0.492735815340536
211	0.706120835888287
212	0.0915144273921844
213	1.23872427093114
214	0.0465736362091056
216	0.841304866572753
217	0.542689535939961
219	0.202235076700265
223	0.106600799487297
224	0.106331435411144
225	0.3770855529383
226	0.255336209391634
227	0.492004881938257
228	0.296904943509839
229	0.283268763611275
230	0.0240630186286714
231	0.630553136682749
234	0.328663841405024
235	0.0146181282879483
236	0.331699363394008
237	0.0294048796953369
239	0.233294212612129
241	0.425365447529938
242	0.178356343756232
243	0.119099348256137
244	0.0601159597284722
245	0.376067785161264
246	0.266336399357329
247	0.302939330027669
248	0.171068421190467
251	0.429954435549287
253	0.207498296509602
257	0.41778309184677
258	0.258945922819792
259	0.258795508794967
260	0.487873403660901
261	0.18463229453821
262	0.487999571653704
263	0.200601392251316
264	0.277725315353053
265	0.317346706085682
266	0.794909695077261
267	0.40964620816719
269	0.48133593340307
270	0.202045881198562
271	0.687671885211971
272	0.23318795478094
273	0.167712499360143
274	0.119640512807184
275	0.200318214182748
276	0.23144225581442
277	0.223195613627445
278	0.117057208721367
279	0.476586032211623
280	0.451332716290134
281	0.334419337430148
283	0.329942426502051
285	0.669030728469933
287	0.0652289944237266
290	0.600941568168744
291	0.0566296232740879
292	0.159126214816625
293	0.538775984057821
296	0.129543952131832
297	0.434034047993074
298	1.88400331103717
300	0.0637655722603772
309	0.0299594278005966
310	0.21684066855972
312	0.0325059268478279
315	0.106937770306746
316	0.485934570737336
319	0.75108324327941
320	0.161580700009507
321	0.156460039512859
322	0.109950950112143
323	0.138624102690083
324	0.0814158374028703
325	0.0470871696070682
328	0.0798424910826689
330	0.639394187497568
331	0.296618552758453
332	0.0742798292199912
333	0.359761589452708
340	0.653838563913534
341	0.233916603313788
342	0.395270253338316
348	0.715362268858131
357	0.62297520163787
358	0.287548795774641
362	0.16527247070205
376	0.477345344555748
379	0.388992208516509
380	0.713459580264818
381	0.140381543665249
383	0.0210618272129458
400	0.26981462059769
403	0.254414174684355
407	0.257695081822002
411	4.87097164662963
413	4.33752716617405
627	0.41452213995574
632	0.0129087587859616
633	0.0162735345455154
634	0.0527696165280931
635	0.00412257822574678
640	0.0588464568237785
642	0.102054582387882
651	0.609636433915806
652	0.254685284120153
654	0.617640131874324
655	0.732291179216547
656	0.565918051662474
657	0.118595789509278
660	0.272668572743735
661	0.263881507198854
662	4.33752716617405
663	0.191956140064648
664	0.0671986896555455
665	0.185000113490456
667	0.748994126114262
672	0.502578256196586
674	0.0210291294787483
675	0.166163394543294
678	0.192851235728169
